id,state,y,x
674,ADULT_FEMALE_G,34.0,15.0
675,ADULT_FEMALE_G,15.0,162.0
676,ADULT_FEMALE_G,57.0,2.0
677,ADULT_FEMALE_G,50.0,9.0
678,JUVENILE,5.0,225.0
679,ADULT_MALE,11.0,167.0
680,ADULT_MALE,6.0,169.0
681,ADULT_FEMALE_U,7.0,225.0
682,JUVENILE,62.0,4.0
683,JUVENILE,41.0,23.0
684,ADULT_FEMALE_G,7.0,215.0
685,ADULT_MALE,6.0,166.0
686,JUVENILE,5.0,225.0
687,ADULT_MALE,3.0,220.0
688,ADULT_FEMALE_G,50.0,1.0
689,ADULT_MALE,277.0,168.0
690,ADULT_MALE,284.0,179.0
691,JUVENILE,11.0,169.0
692,ADULT_FEMALE_G,5.0,220.0
693,JUVENILE,284.0,175.0
694,JUVENILE,5.0,225.0
695,JUVENILE,11.0,169.0
696,JUVENILE,5.0,225.0
697,JUVENILE,62.0,4.0
698,JUVENILE,62.0,4.0
699,ADULT_FEMALE_G,288.0,168.0
700,JUVENILE,62.0,4.0
701,ADULT_FEMALE_G,13.0,164.0
702,ADULT_FEMALE_G,63.0,2.0
703,ADULT_MALE,2.0,220.0
704,ADULT_FEMALE_G,3.0,203.0
705,ADULT_FEMALE_G,3.0,171.0
706,ADULT_MALE,64.0,5.0
707,JUVENILE,11.0,169.0
708,JUVENILE,62.0,4.0
709,JUVENILE,284.0,175.0
